TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,is_home,PTS,OPP_PTS,OPP_TEAM_NAME,_season
DEN,Denver Nuggets,2024-10-04,True,103,107,Boston Celtics,2025-26
BOS,Boston Celtics,2024-10-04,False,107,103,Denver Nuggets,2025-26
UTAH,Utah Jazz,2024-10-05,True,116,87,New Zealand Breakers,2025-26
NZL,New Zealand Breakers,2024-10-05,False,87,116,Utah Jazz,2025-26
LAL,Los Angeles Lakers,2024-10-05,True,107,124,Minnesota Timberwolves,2025-26
MIN,Minnesota Timberwolves,2024-10-05,False,124,107,Los Angeles Lakers,2025-26
LAC,LA Clippers,2024-10-05,True,90,91,Golden State Warriors,2025-26
GS,Golden State Warriors,2024-10-05,False,91,90,LA Clippers,2025-26
BOS,Boston Celtics,2024-10-06,True,130,104,Denver Nuggets,2025-26
DEN,Denver Nuggets,2024-10-06,False,104,130,Boston Celtics,2025-26
CHA,Charlotte Hornets,2024-10-06,True,109,111,New York Knicks,2025-26
NY,New York Knicks,2024-10-06,False,111,109,Charlotte Hornets,2025-26
TOR,Toronto Raptors,2024-10-06,True,125,98,Washington Wizards,2025-26
WSH,Washington Wizards,2024-10-06,False,98,125,Toronto Raptors,2025-26
DET,Detroit Pistons,2024-10-07,True,120,87,Milwaukee Bucks,2025-26
MIL,Milwaukee Bucks,2024-10-07,False,87,120,Detroit Pistons,2025-26
LAL,Los Angeles Lakers,2024-10-07,True,114,118,Phoenix Suns,2025-26
PHX,Phoenix Suns,2024-10-07,False,118,114,Los Angeles Lakers,2025-26
NO,New Orleans Pelicans,2024-10-07,True,106,104,Orlando Magic,2025-26
ORL,Orlando Magic,2024-10-07,False,104,106,New Orleans Pelicans,2025-26
PHI,Philadelphia 76ers,2024-10-07,True,139,84,New Zealand Breakers,2025-26
NZL,New Zealand Breakers,2024-10-07,False,84,139,Philadelphia 76ers,2025-26
DAL,Dallas Mavericks,2024-10-08,True,116,121,Memphis Grizzlies,2025-26
MEM,Memphis Grizzlies,2024-10-08,False,121,116,Dallas Mavericks,2025-26
SA,San Antonio Spurs,2024-10-08,True,107,112,Oklahoma City Thunder,2025-26
OKC,Oklahoma City Thunder,2024-10-08,False,112,107,San Antonio Spurs,2025-26
UTAH,Utah Jazz,2024-10-08,True,122,113,Houston Rockets,2025-26
HOU,Houston Rockets,2024-10-08,False,113,122,Utah Jazz,2025-26
CHA,Charlotte Hornets,2024-10-08,True,111,108,Miami Heat,2025-26
MIA,Miami Heat,2024-10-08,False,108,111,Charlotte Hornets,2025-26
CLE,Cleveland Cavaliers,2024-10-08,True,112,116,Chicago Bulls,2025-26
CHI,Chicago Bulls,2024-10-08,False,116,112,Cleveland Cavaliers,2025-26
DET,Detroit Pistons,2024-10-08,True,97,105,Phoenix Suns,2025-26
PHX,Phoenix Suns,2024-10-08,False,105,97,Detroit Pistons,2025-26
ATL,Atlanta Hawks,2024-10-08,True,131,130,Indiana Pacers,2025-26
IND,Indiana Pacers,2024-10-08,False,130,131,Atlanta Hawks,2025-26
LAC,LA Clippers,2024-10-09,True,115,106,Brooklyn Nets,2025-26
BKN,Brooklyn Nets,2024-10-09,False,106,115,LA Clippers,2025-26
NY,New York Knicks,2024-10-09,True,117,94,Washington Wizards,2025-26
WSH,Washington Wizards,2024-10-09,False,94,117,New York Knicks,2025-26
OKC,Oklahoma City Thunder,2024-10-10,True,113,122,Houston Rockets,2025-26
HOU,Houston Rockets,2024-10-10,False,122,113,Oklahoma City Thunder,2025-26
SA,San Antonio Spurs,2024-10-10,True,107,97,Orlando Magic,2025-26
ORL,Orlando Magic,2024-10-10,False,97,107,San Antonio Spurs,2025-26
SAC,Sacramento Kings,2024-10-10,True,112,122,Golden State Warriors,2025-26
GS,Golden State Warriors,2024-10-10,False,122,112,Sacramento Kings,2025-26
CLE,Cleveland Cavaliers,2024-10-10,True,117,129,Indiana Pacers,2025-26
IND,Indiana Pacers,2024-10-10,False,129,117,Cleveland Cavaliers,2025-26
DAL,Dallas Mavericks,2024-10-11,True,102,107,Utah Jazz,2025-26
UTAH,Utah Jazz,2024-10-11,False,107,102,Dallas Mavericks,2025-26
MEM,Memphis Grizzlies,2024-10-11,True,94,119,Charlotte Hornets,2025-26
CHA,Charlotte Hornets,2024-10-11,False,119,94,Memphis Grizzlies,2025-26
MIL,Milwaukee Bucks,2024-10-11,True,102,107,Los Angeles Lakers,2025-26
LAL,Los Angeles Lakers,2024-10-11,False,107,102,Milwaukee Bucks,2025-26
OKC,Oklahoma City Thunder,2024-10-11,True,117,89,New Zealand Breakers,2025-26
NZL,New Zealand Breakers,2024-10-11,False,89,117,Oklahoma City Thunder,2025-26
WSH,Washington Wizards,2024-10-11,True,113,95,Toronto Raptors,2025-26
TOR,Toronto Raptors,2024-10-11,False,95,113,Washington Wizards,2025-26
MIN,Minnesota Timberwolves,2024-10-11,True,121,111,Philadelphia 76ers,2025-26
PHI,Philadelphia 76ers,2024-10-11,False,111,121,Minnesota Timberwolves,2025-26
GS,Golden State Warriors,2024-10-12,True,109,106,Sacramento Kings,2025-26
SAC,Sacramento Kings,2024-10-12,False,106,109,Golden State Warriors,2025-26
PHX,Phoenix Suns,2024-10-12,True,91,109,Detroit Pistons,2025-26
DET,Detroit Pistons,2024-10-12,False,109,91,Phoenix Suns,2025-26
LAC,LA Clippers,2024-10-12,True,101,99,Portland Trail Blazers,2025-26
POR,Portland Trail Blazers,2024-10-12,False,99,101,LA Clippers,2025-26
BOS,Boston Celtics,2024-10-13,True,139,89,Philadelphia 76ers,2025-26
PHI,Philadelphia 76ers,2024-10-13,False,89,139,Boston Celtics,2025-26
CHI,Chicago Bulls,2024-10-13,True,121,124,Memphis Grizzlies,2025-26
MEM,Memphis Grizzlies,2024-10-13,False,124,121,Chicago Bulls,2025-26
SA,San Antonio Spurs,2024-10-13,True,126,120,Utah Jazz,2025-26
UTAH,Utah Jazz,2024-10-13,False,120,126,San Antonio Spurs,2025-26
MIA,Miami Heat,2024-10-13,True,101,99,New Orleans Pelicans,2025-26
NO,New Orleans Pelicans,2024-10-13,False,99,101,Miami Heat,2025-26
NY,New York Knicks,2024-10-13,True,115,110,Minnesota Timberwolves,2025-26
MIN,Minnesota Timberwolves,2024-10-13,False,110,115,New York Knicks,2025-26
SAC,Sacramento Kings,2024-10-13,True,85,105,Portland Trail Blazers,2025-26
POR,Portland Trail Blazers,2024-10-13,False,105,85,Sacramento Kings,2025-26
BOS,Boston Celtics,2024-10-13,True,115,111,Toronto Raptors,2025-26
TOR,Toronto Raptors,2024-10-13,False,111,115,Boston Celtics,2025-26
DEN,Denver Nuggets,2024-10-14,True,114,118,Phoenix Suns,2025-26
PHX,Phoenix Suns,2024-10-14,False,118,114,Denver Nuggets,2025-26
GS,Golden State Warriors,2024-10-14,True,111,93,Detroit Pistons,2025-26
DET,Detroit Pistons,2024-10-14,False,93,111,Golden State Warriors,2025-26
IND,Indiana Pacers,2024-10-14,True,116,120,Memphis Grizzlies,2025-26
MEM,Memphis Grizzlies,2024-10-14,False,120,116,Indiana Pacers,2025-26
ATL,Atlanta Hawks,2024-10-14,True,89,104,Philadelphia 76ers,2025-26
PHI,Philadelphia 76ers,2024-10-14,False,104,89,Atlanta Hawks,2025-26
BKN,Brooklyn Nets,2024-10-14,True,131,92,Washington Wizards,2025-26
WSH,Washington Wizards,2024-10-14,False,92,131,Brooklyn Nets,2025-26
MIL,Milwaukee Bucks,2024-10-15,True,111,107,Chicago Bulls,2025-26
CHI,Chicago Bulls,2024-10-15,False,107,111,Milwaukee Bucks,2025-26
LAC,LA Clippers,2024-10-15,True,110,96,Dallas Mavericks,2025-26
